"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"OTOF",6604.64136693936,8.804871182287,1.59772348379816,1.015398829009e-09,2.63211684455712e-07
"SLC38A10",3603.03170677145,0.496336375123678,0.0862979082450199,1.3097969187863e-09,3.26466882007486e-07
"VSIG10L",135.952696802004,1.81475857508782,0.325739282992847,1.29869692398124e-09,3.26466882007486e-07
"IFIH1",382.791376223407,1.69460778793983,0.305290412520112,1.44169770595151e-09,3.52563093713915e-07
"UNC119B",1388.90072972101,-0.786013743786424,0.139914037900042,1.5425851301405e-09,3.7024899762502e-07
"FLVCR2",1608.62654203622,0.834122689278022,0.148854488253125,1.60280464490659e-09,3.77708200047897e-07
"ANXA2R",219.295184243877,1.49398764809392,0.270192912348231,1.68245468296853e-09,3.89398127606342e-07
"PARP9",3887.71865105579,2.37387037390092,0.430717471556643,1.75995396433621e-09,4.00188830381783e-07
"PLEKHA2",5230.56546422513,0.45605333022099,0.080093333035709,2.08057966963215e-09,4.64937812036247e-07
"MCTP2",866.410516944065,1.28970741682332,0.234986747185987,2.33641079963912e-09,5.13257972442757e-07
"ACP2",1354.68368219217,1.14623986812071,0.209214570051719,2.59254085331814e-09,5.60032033330939e-07
"AKR1B1",585.616324599724,-1.08537117481811,0.198511846895537,2.63714721165386e-09,5.60328934594191e-07
"TRIM25",4697.66431425045,0.726506371951644,0.131791368117562,3.16388957498834e-09,6.61406012603611e-07
"BRWD3",1651.6199963963,-0.480505342876774,0.0863247560000542,4.05312396626498e-09,8.2476883114013e-07
"CACNA2D3",491.76234484424,-2.26065791278007,0.423001764586595,4.07261825422176e-09,8.2476883114013e-07
"TRIM13",589.963878381799,-0.788833901401571,0.145351063040969,4.46784205069734e-09,8.9088770490905e-07
"TLR7",4244.10149955905,1.27802039006449,0.239985800688545,5.42746392254057e-09,1.06583878636437e-06
"ADGRD1",559.293100784646,-1.4223250208083,0.267867029948664,5.61471329455657e-09,1.08615371657832e-06
"CD63",12822.5637016171,0.781538038571524,0.145242903979024,6.04290129159104e-09,1.15179475941634e-06
"EXOC3L1",189.17198371315,2.90905227066442,0.55388185176789,6.38137088127618e-09,1.16491476045381e-06
"MVP",15879.4653645047,0.592356351065554,0.10887684442168,6.3111411265259e-09,1.16491476045381e-06
"TLR1",4062.86712890271,0.544585297735893,0.0997357013060227,6.20881610714671e-09,1.16491476045381e-06
"MTHFD2",2851.62137108188,1.06646413124424,0.200470480292023,6.50534991410347e-09,1.16809098119228e-06
"PINK1",2117.3874046961,-0.616866300712669,0.113951355422398,6.5790171766867e-09,1.16809098119228e-06
"CR1",14259.3779367707,1.12716668781141,0.212772655461027,7.02544828319563e-09,1.23049777295268e-06
"TAPBP",11036.2912321912,0.846298115618135,0.158590802431603,7.15481245381146e-09,1.236446989518e-06
"CCR5",1432.32462287731,1.1819096658332,0.22385983146124,7.50085603339817e-09,1.26257915647888e-06
"HSPB1",391.802351279799,2.31852264254461,0.44277541067255,7.49063114629185e-09,1.26257915647888e-06
"CNTNAP3",31.5100244115678,-4.30619534890064,0.821452419517546,7.72261704748376e-09,1.28324153272355e-06
"GLUL",25665.5021254597,0.672934714010098,0.12545244904884,7.9283629014634e-09,1.30075331096034e-06
"TSPOAP1",314.350088553433,2.04940895093171,0.392059417652383,8.02882027726741e-09,1.30076924517079e-06
"ETV7",801.846712952538,4.36555610103613,0.842907665390546,8.25740164708341e-09,1.32128620676356e-06
"ADM",927.598996733121,1.23959568617179,0.236125717437704,8.63322991146596e-09,1.36457674246964e-06
"LGALS3BP",1787.28961117521,4.50556036562162,0.873253569666092,9.6888499611192e-09,1.5129781246514e-06
"ACSL1",5372.81265524855,0.99931126669584,0.190332038996678,1.0039427073627e-08,1.54797069129083e-06
"APOL1",2395.29698720573,1.80286108353023,0.345550513583679,1.02618367461661e-08,1.54797069129083e-06
"STARD4",1019.95677098569,1.50442055623014,0.289610500234308,1.02712352018372e-08,1.54797069129083e-06
"ATL2",606.541517346944,-0.562210281088884,0.105652969757902,1.23280083542638e-08,1.8365898422944e-06
"FXN",229.82648539368,-0.760061388983196,0.144645727707345,1.26122309671355e-08,1.85758097233003e-06
"RNF216",3159.22442972869,-0.408569683742213,0.0759014540486752,1.50785438019591e-08,2.19587647435047e-06
"EPSTI1",6592.38383190311,3.10923772074572,0.612385447427132,1.61979289067593e-08,2.3326817395612e-06
"AC093323.3",367.722406530008,-0.7057793863853,0.135740057986373,1.72082562927276e-08,2.45094736054991e-06
"SCO2",539.540189304588,2.07973319063457,0.411213362827729,1.92233740847228e-08,2.70819729904449e-06
"DYSF",15542.8425970948,1.56521928470998,0.305987208452288,1.99371449712399e-08,2.77855199970151e-06
"CNDP2",3392.54385698137,0.577377176766633,0.11043134465737,2.02406144955284e-08,2.79083621783557e-06
"RRAS",1571.12067484393,1.00498667077136,0.196914507417883,2.1129174247315e-08,2.88268660441526e-06
"KREMEN1",586.060757087025,1.99614078430921,0.396367718111847,2.1818924156605e-08,2.94578204160164e-06
"COQ10B",876.219907894196,0.481192795559195,0.0915985814998749,2.35371817658203e-08,3.14500425635874e-06
"KCNMA1",49.2694400278759,4.51472257218029,0.897708265098355,2.41475647131412e-08,3.17102470667482e-06
"ODF3B",3502.34076629091,1.79591765844873,0.356121637897229,2.42212364756429e-08,3.17102470667482e-06
"TAP2",7297.7046972255,1.62794147710273,0.320440175026788,2.47705201981468e-08,3.2105071228818e-06
"COQ8A",1838.71905413743,-0.993839705937174,0.196456023368533,2.63231064855129e-08,3.31236682678381e-06
